,Sexo,Edad,Casado,Numero Dependientes,Recomendaciones realizadas,Meses como Cliente,Plan,Cargo Mensual LLamadas,Multiples lineas,Servicio Internet,GB mensuales consumidos,Servicio Adicional Antivirus,Servicio Respaldo en la Nube,Seguro Proteccion Equipo,Servicio Soporte Premium,Usa Streaming TV,Usa Streaming Peliculas,Usa Streaming Musica,Plan Ilimitado Datos,Tipo Contrato,Cobro Mensual,Historico de Devoluciones ,Historico Cargos extra datos,Historico Cargos Llamadas,Historico Cobro Acumulado   ,Fugado,Causa Fuga
3586,Mujer,54,No,0,0,10,Plan D,19474,No,Si,7.5,No,Si,No,Si,No,Si,Si,Si,Anual,33748,0,0,194740,551226,No,
3587,Mujer,25,Si,3,1,17,Ninguno,10519.6,No,Si,103.5,Si,No,No,Si,No,No,No,Si,Mensual,28782,0,0,178833.2,657493.2,No,
3588,Mujer,46,Si,0,1,18,Ninguno,,,Si,45,No,No,Si,No,Si,No,No,Si,Mensual,20306,0,0,0,348322,Si,Disconforme
3590,Mujer,39,Si,0,1,58,Plan B,14554.8,Si,Si,36,Si,Si,Si,No,Si,Si,Si,Si,Otro mas largo,56914,0,0,844178.4,4039344.4,Si,Disconforme
3591,Mujer,32,Si,0,10,59,Plan B,23790,No,Si,16.5,No,Si,No,Si,Si,Si,Si,Si,Otro mas largo,52026,0,0,1403610,4541732,No,
3593,Mujer,45,No,0,0,24,Ninguno,15693.6,No,Si,6,Si,No,No,Si,No,No,No,Si,Mensual,29302,0,0,376646.4,1094870.4,No,
3594,Mujer,21,Si,0,1,47,Plan B,23868,No,No,,,,,,,,,,Otro mas largo,10218,0,0,1121796,1601002,No,
3595,Mujer,33,Si,0,1,3,Ninguno,16437.2,Si,Si,30,No,Si,No,No,No,Si,Si,No,Mensual,47580,0,5200,49311.6,180845.6,Si,Mejor la Competencia
3596,Mujer,28,Si,0,5,55,Ninguno,1227.2,No,Si,103.5,Si,Si,No,Si,No,No,No,Si,Otro mas largo,29536,0,0,67496,1685762,No,
3597,Hombre,77,Si,0,1,43,Plan B,7550.4,Si,Si,7.5,No,Si,Si,Si,Si,Si,No,Si,Mensual,57590,0,0,324667.2,2762375.2,Si,Mejor la Competencia
3598,Mujer,49,No,1,0,1,Plan E,24008.4,No,Si,28.5,No,No,No,No,No,No,No,Si,Mensual,23894,0,0,24008.4,47902.4,Si,Mejor la Competencia
3599,Hombre,30,No,0,0,11,Ninguno,20217.6,No,Si,45,Si,No,No,No,No,No,No,Si,Mensual,38220,0,0,222393.6,634103.6,Si,Mejor la Competencia
3600,Mujer,61,No,0,0,60,Ninguno,,,Si,6,Si,No,Si,No,Si,Si,Si,Si,Otro mas largo,27872,0,0,0,1683266,No,
3601,Hombre,20,No,3,0,72,Ninguno,,,Si,106.5,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,34944,0,0,0,2429284,No,
3602,Mujer,55,Si,1,5,69,Ninguno,10909.6,Si,No,,,,,,,,,,Otro mas largo,13312,14606.8,0,752762.4,1608323.6,No,
3603,Hombre,73,Si,0,7,29,Plan C,19110,Si,Si,18,No,No,No,No,No,Si,Si,Si,Otro mas largo,43836,0,0,554190,1780220,No,
3604,Mujer,22,Si,1,9,71,Plan A,19536.4,Si,Si,127.5,Si,Si,Si,Si,Si,Si,Si,No,Otro mas largo,46748,0,78000,1387084.4,4763288.4,No,
3605,Mujer,22,Si,0,4,48,Plan B,20410,Si,Si,76.5,No,Si,No,Si,Si,Si,Si,Si,Mensual,54652,0,0,979680,3623126,No,
3606,Hombre,50,Si,0,3,36,Ninguno,3114.8,Si,Si,9,No,No,No,No,Si,Si,Si,Si,Mensual,49400,0,0,112132.8,1901062.8,No,
3608,Mujer,40,Si,0,5,50,Plan B,4924.4,Si,Si,42,No,No,Si,No,Si,Si,Si,Si,Anual,39364,0,0,246220,2261844,No,
3610,Hombre,59,No,0,0,31,Ninguno,17976.4,No,No,,,,,,,,,,Otro mas largo,10634,0,0,557268.4,889314.4,No,
3611,Hombre,48,No,0,0,63,Plan B,,,Si,42,Si,Si,No,Si,No,No,No,Si,Anual,21112,0,0,0,1346254,No,
3612,Hombre,41,Si,1,0,54,Plan B,,,Si,28.5,No,No,Si,Si,No,Si,Si,No,Otro mas largo,23920,0,46800,0,1307306,No,
3613,Mujer,62,Si,0,1,56,Plan B,20654.4,Si,Si,16.5,Si,No,No,No,Si,No,No,Si,Anual,33904,0,0,1156646.4,2982964.4,No,
3614,Mujer,64,Si,0,6,43,Ninguno,10961.6,Si,Si,21,Si,Si,No,Si,Si,Si,Si,Si,Otro mas largo,44954,0,0,471348.8,2330088.8,No,
3615,Hombre,27,No,0,0,25,Ninguno,5408,No,Si,72,Si,No,Si,Si,Si,Si,Si,Si,Mensual,54860,0,0,135200,1531946,No,
3616,Hombre,73,No,0,0,25,Plan C,24096.8,Si,Si,33,No,Si,Si,No,Si,Si,No,Si,Mensual,55094,0,0,602420,1983150,Si,Por Precio
3617,Mujer,22,Si,0,1,62,Plan B,3333.2,No,Si,88.5,Si,Si,Si,No,Si,No,No,Si,Otro mas largo,37440,0,0,206658.4,2434442.4,No,
3618,Hombre,62,Si,3,10,49,Plan B,6104.8,No,Si,30,No,Si,Si,No,Si,No,No,Si,Mensual,47008,0,0,299135.2,2636353.2,No,
3620,Hombre,47,No,0,0,8,Plan E,,,Si,12,Si,No,No,No,No,No,No,No,Mensual,15262,0,5200,0,117754,No,
3621,Mujer,34,Si,0,1,1,Ninguno,5761.6,No,Si,19.5,No,No,No,No,No,No,No,Si,Mensual,36296,0,0,5761.6,42057.6,Si,Disconforme
3622,Hombre,75,Si,0,4,72,Plan A,2912,Si,Si,28.5,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,59540,0,0,209664,4542278,No,
3623,Mujer,37,Si,1,6,63,Plan B,13166.4,No,Si,16.5,Si,No,No,No,No,No,No,Si,Otro mas largo,26338,19260.8,0,829483.2,2485272.4,No,
3624,Hombre,44,No,0,0,54,Plan B,18366.4,Si,Si,22.5,No,No,Si,No,No,Si,Si,Si,Mensual,46488,0,0,991785.6,3523925.6,No,
3625,Mujer,22,Si,0,1,33,Plan C,21637.2,Si,Si,109.5,Si,No,Si,No,Si,Si,Si,Si,Anual,53924,0,0,714027.6,2516867.6,Si,Mejor la Competencia
3626,Hombre,39,No,0,0,31,Ninguno,3328,Si,Si,36,No,Si,No,Si,Si,No,No,Si,Mensual,36946,0,0,103168,1230606,No,
3627,Hombre,51,No,0,0,10,Plan D,14336.4,Si,Si,19.5,Si,No,No,No,Si,Si,Si,Si,Mensual,51246,0,0,143364,667810,Si,Mejor la Competencia
3628,Mujer,52,Si,0,7,59,Plan B,21044.4,Si,Si,6,Si,Si,Si,No,Si,Si,Si,Si,Anual,56758,0,0,1241619.6,4651649.6,No,
3629,Mujer,46,No,1,0,9,Ninguno,21892,No,Si,24,Si,No,Si,Si,No,Si,Si,Si,Mensual,48360,0,0,197028,649558,No,
3630,Mujer,76,No,0,0,10,Ninguno,,,Si,30,No,No,No,Si,No,No,No,No,Mensual,15418,0,57200,0,208728,Si,Otra
3631,Hombre,62,No,0,0,1,Ninguno,9157.2,No,No,,,,,,,,,,Mensual,10374,0,0,9157.2,19531.2,Si,Servicio Cliente
3632,Hombre,55,No,0,0,4,Ninguno,18127.2,No,No,,,,,,,,,,Mensual,10374,0,0,72508.8,103318.8,No,
3633,Hombre,68,No,0,0,38,Ninguno,24419.2,Si,Si,19.5,No,No,No,No,Si,Si,No,Si,Otro mas largo,49270,23826.4,0,927929.6,2803663.2,No,
3634,Mujer,44,No,0,0,16,Ninguno,19770.4,No,Si,37.5,No,Si,No,No,No,No,No,Si,Mensual,39052,0,0,316326.4,947008.4,No,
3635,Hombre,32,No,0,0,67,Plan A,7966.4,No,No,,,,,,,,,,Otro mas largo,10374,0,0,533748.8,1215858.8,No,
3636,Mujer,49,No,0,0,20,Ninguno,8252.4,No,No,,,,,,,,,,Otro mas largo,10244,0,0,165048,376662,No,
3637,Mujer,23,Si,0,2,64,Ninguno,9375.6,No,Si,63,Si,Si,Si,Si,No,Si,Si,Si,Otro mas largo,38662,0,0,600038.4,3075004.4,No,
3638,Hombre,35,Si,0,1,28,Ninguno,14216.8,No,Si,24,No,Si,Si,Si,Si,No,No,Si,Anual,48308,0,0,398070.4,1837612.4,No,
3639,Mujer,35,Si,1,3,71,Plan A,17955.6,Si,Si,28.5,Si,Si,Si,Si,No,No,No,No,Anual,49478,0,0,1274847.6,4795689.6,No,
3640,Mujer,48,No,0,0,21,Ninguno,18881.2,No,Si,40.5,No,Si,Si,Si,Si,Si,Si,Si,Anual,54366,0,0,396505.2,1560993.2,No,
3642,Hombre,27,Si,3,3,31,Plan C,18974.8,Si,Si,88.5,Si,No,Si,No,Si,No,No,Si,Anual,50986,0,0,588218.8,2190910.8,No,
3643,Hombre,57,Si,0,6,37,Ninguno,14253.2,Si,Si,15,Si,No,No,No,No,No,No,Si,Mensual,28626,0,0,527368.4,1583358.4,No,
3644,Hombre,51,Si,3,1,68,Ninguno,9604.4,Si,Si,112.5,Si,Si,Si,No,Si,Si,Si,Si,Otro mas largo,57304,0,0,653099.2,4536199.2,No,
3645,Mujer,26,No,0,0,34,Ninguno,12240.8,Si,Si,114,No,No,No,No,Si,No,No,No,Mensual,44382,0,0,416187.2,1922419.2,No,
3646,Mujer,30,No,0,0,9,Plan E,,,Si,72,Si,No,Si,Si,Si,Si,Si,Si,Mensual,30420,0,0,0,280722,Si,Mejor la Competencia
3647,Mujer,33,Si,1,6,28,Plan C,21533.2,Si,Si,45,No,No,No,No,No,No,No,Si,Mensual,25948,0,0,602929.6,1336259.6,No,
3649,Mujer,32,Si,1,3,11,Plan D,1310.4,No,No,,,,,,,,,,Otro mas largo,10868,0,0,14414.4,119610.4,No,
3650,Mujer,37,No,0,0,2,Plan E,12641.2,No,Si,24,No,No,Si,No,No,No,No,Si,Mensual,39416,0,0,25282.4,108872.4,Si,Mejor la Competencia
3651,Hombre,27,No,0,0,17,Ninguno,6770.4,No,Si,109.5,No,No,No,No,No,No,No,Si,Anual,23192,0,0,115096.8,469424.8,No,
3652,Hombre,38,Si,2,1,69,Ninguno,22308,No,Si,36,Si,Si,No,Si,Si,Si,Si,Si,Otro mas largo,55302,0,0,1539252,5315362,No,
3653,Hombre,23,Si,0,8,37,Plan C,6827.6,Si,Si,87,No,No,Si,Si,Si,No,No,Si,Otro mas largo,49036,0,0,252621.2,2052315.2,No,
3654,Hombre,73,No,0,0,4,Plan E,,,Si,28.5,No,No,No,No,No,No,No,Si,Mensual,13104,0,0,0,53300,Si,Disconforme
3655,Hombre,64,No,0,0,1,Plan E,4451.2,Si,Si,36,No,Si,No,No,No,Si,Si,Si,Mensual,47242,0,0,4451.2,51693.2,Si,Mejor la Competencia
3656,Mujer,50,Si,0,2,72,Plan A,19988.8,Si,Si,24,No,Si,Si,Si,Si,Si,Si,Si,Anual,56420,0,0,1439193.6,5601169.6,No,
3657,Hombre,26,Si,3,4,8,Ninguno,11512.8,No,Si,123,No,No,Si,No,Si,Si,Si,Si,Mensual,49270,0,0,92102.4,487068.4,No,
3658,Mujer,19,Si,0,1,49,Ninguno,,,Si,123,Si,No,No,Si,No,No,No,Si,Anual,18616,0,0,0,926640,No,
3659,Hombre,27,No,0,0,27,Ninguno,24778,No,No,,,,,,,,,,Otro mas largo,10322,0,0,669006,913406,No,
3660,Hombre,22,No,0,0,4,Ninguno,6921.2,Si,Si,88.5,No,No,No,Si,No,Si,Si,Si,Mensual,34086,0,0,27684.8,151028.8,No,
3661,Hombre,28,Si,0,0,72,Ninguno,11055.2,Si,Si,79.5,Si,Si,No,Si,Si,Si,Si,Si,Otro mas largo,56654,0,0,795974.4,4890974.4,No,
3664,Hombre,37,Si,2,0,67,Plan A,20269.6,Si,Si,24,No,Si,Si,No,Si,Si,Si,Si,Anual,54808,0,0,1358063.2,4992577.2,No,
3665,Mujer,27,No,0,0,9,Ninguno,12901.2,No,Si,103.5,No,Si,No,Si,Si,No,No,No,Mensual,34450,0,5200,116110.8,443996.8,Si,Disconforme
3666,Mujer,48,No,0,0,4,Ninguno,7836.4,No,Si,24,No,No,No,No,No,No,No,Si,Mensual,23920,0,0,31345.6,132017.6,Si,Disconforme
3667,Hombre,56,No,0,0,22,Plan D,15782,Si,Si,15,No,Si,No,No,No,No,No,No,Mensual,41002,0,26000,347204,1205334,No,
3668,Mujer,64,No,0,0,48,Ninguno,21455.2,No,Si,34.5,No,Si,No,No,No,No,No,Si,Anual,39078,0,0,1029849.6,2991627.6,No,
3669,Mujer,34,No,0,0,47,Ninguno,23238.8,No,No,,,,,,,,,,Otro mas largo,10686,0,0,1092223.6,1583987.6,No,
3670,Mujer,49,Si,0,5,66,Plan A,23088,Si,Si,16.5,Si,Si,Si,No,No,No,No,No,Otro mas largo,34788,0,36400,1523808,3832738,No,
3671,Mujer,28,No,3,0,37,Ninguno,5319.6,No,No,,,,,,,,,,Anual,10556,0,0,196825.2,589633.2,No,
3672,Hombre,71,Si,0,1,1,Ninguno,2542.8,Si,Si,16.5,No,No,No,No,Si,Si,No,Si,Mensual,49452,0,0,2542.8,51994.8,Si,Por Precio
3673,Hombre,80,Si,2,5,22,Ninguno,,,Si,27,Si,No,No,No,No,Si,No,Si,Mensual,20826,0,0,0,457704,Si,Otra
3674,Mujer,59,Si,3,7,56,Ninguno,9874.8,No,Si,79.5,Si,Si,Si,No,No,No,No,Si,Otro mas largo,31876,0,0,552988.8,2293324.8,No,
3675,Mujer,30,No,0,0,72,Plan A,18324.8,Si,Si,63,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,58630,0,0,1319385.6,5579537.6,No,
3676,Hombre,32,No,0,0,10,Plan D,23758.8,No,Si,16.5,No,No,No,Si,Si,Si,Si,Si,Mensual,49452,22490,0,237588,664950,No,
3677,Hombre,24,No,0,0,9,Ninguno,17903.6,No,Si,76.5,Si,No,Si,Si,Si,No,Si,Si,Mensual,36140,0,0,161132.4,500822.4,No,
3678,Mujer,31,No,0,0,35,Ninguno,19661.2,No,No,,,,,,,,,,Mensual,10010,0,0,688142,1009320,No,
3679,Hombre,75,No,0,0,1,Ninguno,21424,No,Si,22.5,No,No,No,No,No,No,No,No,Mensual,36140,0,41600,21424,99164,Si,Por Precio
3680,Hombre,73,Si,0,10,54,Ninguno,18283.2,Si,Si,7.5,No,No,No,No,No,No,No,Si,Mensual,38480,0,0,987292.8,3025250.8,No,
3681,Mujer,68,No,0,0,1,Ninguno,23821.2,Si,Si,31.5,No,No,No,No,Si,No,No,Si,Mensual,44564,0,0,23821.2,68385.2,Si,Mejor la Competencia
3682,Hombre,52,No,0,0,63,Plan B,25350,Si,Si,31.5,No,Si,Si,No,Si,Si,Si,Si,Otro mas largo,54470,0,0,1597050,4996030,No,
3683,Mujer,72,No,0,0,53,Plan B,17981.6,No,Si,42,Si,Si,No,Si,No,Si,Si,Si,Anual,50310,0,0,953024.8,3660430.8,No,
3684,Mujer,39,No,0,0,1,Plan E,4706,No,Si,31.5,No,Si,No,No,No,No,No,Si,Mensual,39364,0,0,4706,44070,Si,Servicio Cliente
3685,Hombre,43,Si,2,1,67,Ninguno,3395.6,No,Si,28.5,Si,Si,No,Si,No,No,No,Si,Anual,31226,0,0,227505.2,2304411.2,No,
3686,Mujer,56,Si,0,9,71,Ninguno,6973.2,Si,Si,27,No,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,43316,19468.8,0,495097.2,3540768.4,No,
3687,Mujer,21,Si,3,5,42,Plan B,3312.4,Si,Si,103.5,Si,Si,No,No,Si,No,No,No,Anual,49114,0,72800,139120.8,2252296.8,No,
3688,Mujer,39,Si,2,4,12,Ninguno,20586.8,Si,No,,,,,,,,,,Otro mas largo,13130,0,0,247041.6,389885.6,No,
3689,Hombre,66,Si,0,10,57,Ninguno,24242.4,No,Si,6,No,Si,Si,No,Si,No,No,Si,Anual,47138,0,0,1381816.8,4085712.8,No,
3690,Hombre,50,Si,3,5,35,Plan C,795.6,No,Si,85.5,No,Si,No,Si,Si,No,No,Si,Anual,46644,0,0,27846,1673958,No,
3691,Hombre,64,No,2,0,33,Ninguno,,,Si,18,Si,No,No,Si,No,No,No,Si,Anual,17706,0,0,0,579254,No,
3692,Hombre,60,Si,1,1,62,Ninguno,8569.6,Si,No,,,,,,,,,,Anual,12896,0,0,531315.2,1298965.2,No,
3693,Hombre,53,No,0,0,25,Plan C,8996,No,Si,39,Si,No,No,No,No,No,No,Si,Mensual,38636,21080.8,0,224900,1218989.2,No,
3694,Mujer,56,Si,0,1,26,Ninguno,21975.2,No,Si,3,No,No,No,Si,No,Si,Si,Si,Mensual,44668,0,0,571355.2,1713509.2,No,
3695,Mujer,56,No,2,0,39,Ninguno,,,Si,36,No,No,Si,No,No,No,No,No,Mensual,15652,0,78000,0,666276,Si,Disconforme
3696,Mujer,55,No,0,0,34,Ninguno,23691.2,No,Si,10.5,Si,Si,No,No,No,Si,Si,Si,Anual,33462,24122.8,0,805500.8,1848964,No,
3697,Mujer,32,Si,2,4,49,Ninguno,17196.4,No,Si,34.5,Si,Si,Si,Si,Si,Si,Si,Si,Anual,45344,0,0,842623.6,3102023.6,No,
3698,Hombre,50,No,0,0,19,Ninguno,,,Si,31.5,No,No,Si,No,Si,No,No,Si,Mensual,20618,0,0,0,381342,Si,Mejor la Competencia
3699,Hombre,64,No,0,0,17,Ninguno,17513.6,No,Si,21,Si,Si,No,No,No,No,No,Si,Mensual,28860,0,0,297731.2,783489.2,No,
3700,Hombre,56,No,0,0,53,Plan B,25589.2,No,Si,43.5,No,Si,No,Si,No,No,No,No,Mensual,41912,20514,46800,1356227.6,3643525.6,No,
3702,Hombre,41,Si,0,7,70,Plan A,12963.6,No,Si,22.5,Si,Si,No,Si,No,Si,Si,Si,Otro mas largo,35334,0,0,907452,3332810,No,
3703,Mujer,47,No,0,0,2,Plan E,22126,No,Si,45,No,Si,No,Si,No,No,No,Si,Mensual,28626,0,0,44252,97682,Si,Mejor la Competencia
3704,Hombre,26,No,0,0,28,Ninguno,23524.8,No,Si,88.5,No,No,Si,Si,No,Si,Si,Si,Mensual,47320,0,0,658694.4,2024292.4,No,
3705,Hombre,44,No,0,0,27,Ninguno,11263.2,No,No,,,,,,,,,,Anual,10556,0,0,304106.4,613532.4,No,
3706,Hombre,22,Si,1,1,72,Plan A,12324,Si,Si,88.5,No,No,Si,No,No,Si,Si,No,Otro mas largo,47216,0,31200,887328,4304664,No,
3707,Mujer,20,Si,2,3,7,Ninguno,,,Si,114,No,No,No,No,No,No,Si,Si,Mensual,-3640,0,0,0,77506,No,
3708,Mujer,68,Si,0,4,31,Plan C,2756,Si,Si,4.5,No,No,No,No,No,Si,Si,Si,Otro mas largo,44122,0,0,85436,1454804,No,
3709,Mujer,46,Si,0,1,33,Ninguno,5886.4,Si,Si,18,No,Si,Si,No,Si,Si,Si,Si,Mensual,54288,0,0,194251.2,1967243.2,Si,Disconforme
3710,Hombre,60,Si,1,8,68,Plan A,1409.2,Si,No,,,,,,,,,,Otro mas largo,12480,0,0,95825.6,961261.6,No,
3711,Hombre,40,No,0,0,32,Ninguno,24596,No,Si,36,No,No,No,No,Si,Si,Si,Si,Mensual,47346,0,0,787072,2280252,No,
3712,Hombre,31,No,0,0,4,Ninguno,10483.2,No,No,,,,,,,,,,Mensual,9880,0,0,41932.8,82960.8,No,
3713,Hombre,51,No,0,0,64,Plan B,5174,No,Si,3,Si,Si,No,No,Si,Si,Si,Si,Anual,52156,0,0,331136,3765112,No,
3714,Hombre,48,No,0,0,26,Ninguno,20982,No,Si,19.5,No,Si,No,No,Si,No,No,Si,Mensual,44590,0,0,545532,1661712,No,
3715,Hombre,74,Si,0,9,71,Plan A,,,Si,28.5,Si,Si,Si,Si,No,No,No,Si,Otro mas largo,24102,9692.8,0,0,1734075.2,No,
3716,Hombre,40,No,0,0,13,Ninguno,6520.8,No,Si,30,No,No,No,No,No,Si,Si,Si,Mensual,42042,0,0,84770.4,609294.4,Si,Mejor la Competencia
3717,Mujer,64,No,0,0,41,Ninguno,5335.2,No,Si,3,No,Si,No,Si,Si,Si,Si,Si,Otro mas largo,51376,14086.8,0,218743.2,2263414.4,No,
3718,Hombre,47,No,0,0,8,Plan E,12875.2,Si,Si,3,No,No,No,No,No,Si,Si,Si,Mensual,45006,0,0,103001.6,440819.6,Si,Servicio Cliente
3719,Mujer,53,No,0,0,41,Ninguno,1206.4,No,No,,,,,,,,,,Otro mas largo,10322,0,0,49462.4,470896.4,No,
3720,Mujer,33,No,0,0,47,Plan B,1804.4,No,Si,18,No,No,Si,Si,Si,Si,Si,Si,Otro mas largo,38714,0,0,84806.8,1910162.8,No,
3721,Mujer,62,Si,0,3,29,Ninguno,2802.8,Si,Si,25.5,No,No,No,No,No,No,No,Si,Mensual,38974,0,0,81281.2,1198787.2,No,
3722,Hombre,65,No,0,0,8,Plan E,,,Si,6,No,No,Si,No,No,No,No,Si,Mensual,15288,0,0,0,115388,Si,Mejor la Competencia
3723,Mujer,38,No,0,0,57,Ninguno,25407.2,Si,Si,9,Si,Si,Si,No,Si,Si,Si,Si,Otro mas largo,58734,0,0,1448210.4,4810010.4,Si,Mejor la Competencia
3724,Mujer,27,No,0,0,42,Plan B,11481.6,No,Si,39,Si,Si,Si,No,No,No,No,Si,Mensual,31018,0,0,482227.2,1801233.2,No,
3725,Mujer,30,No,0,0,57,Ninguno,14700.4,Si,Si,61.5,Si,Si,No,Si,No,No,No,Si,Mensual,45526,951.6,0,837922.8,3377093.2,No,
3726,Hombre,69,No,0,0,1,Ninguno,5896.8,Si,Si,30,No,No,No,No,No,No,No,Si,Mensual,38844,0,0,5896.8,44740.8,Si,Mejor la Competencia
3727,Hombre,24,Si,2,3,45,Plan B,20295.6,No,No,,,,,,,,,,Otro mas largo,10582,0,0,913302,1396486,No,
3728,Hombre,36,No,0,0,54,Plan B,3972.8,Si,Si,4.5,No,Si,No,No,No,No,No,Si,Mensual,41522,0,0,214531.2,2454821.2,No,
3729,Hombre,72,Si,0,1,33,Ninguno,14445.6,Si,Si,12,No,No,No,No,Si,Si,No,Si,Mensual,49140,0,0,476704.8,2091590.8,Si,Disconforme
3730,Mujer,58,Si,0,4,52,Ninguno,,,Si,12,Si,No,Si,No,No,No,No,Si,Anual,18434,0,0,0,1018654,No,
3731,Hombre,31,Si,0,1,71,Plan A,9578.4,Si,Si,43.5,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,46982,0,0,680066.4,3969196.4,No,
3732,Mujer,78,Si,1,2,72,Ninguno,5137.6,Si,Si,24,Si,Si,Si,Si,Si,Si,No,Si,Otro mas largo,46878,0,0,369907.2,3862461.2,No,
3733,Hombre,36,Si,0,9,72,Ninguno,5678.4,Si,Si,42,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,46930,0,0,408844.8,3720958.8,No,
3734,Mujer,27,Si,2,2,40,Plan B,17388.8,Si,No,,,,,,,,,,Otro mas largo,12896,0,0,695552,1228396,No,
3735,Mujer,48,Si,0,1,64,Ninguno,,,Si,45,No,Si,No,Si,Si,Si,Si,Si,Otro mas largo,28392,0,0,0,1780220,No,
3736,Mujer,41,Si,1,4,26,Ninguno,12708.8,No,No,,,,,,,,,,Mensual,10530,0,0,330428.8,587282.8,No,
3737,Mujer,31,No,0,0,4,Plan E,,,Si,13.5,No,No,No,No,No,No,No,Si,Mensual,12714,0,0,0,45032,Si,Mejor la Competencia
3738,Hombre,47,Si,3,2,52,Plan B,20529.6,No,No,,,,,,,,,,Anual,10842,0,0,1067539.2,1624771.2,No,
3739,Mujer,65,Si,0,5,62,Ninguno,5933.2,Si,Si,37.5,No,Si,Si,No,Si,No,No,Si,Anual,50934,0,0,367858.4,3454864.4,No,
3740,Hombre,54,Si,2,1,42,Ninguno,7696,No,Si,34.5,No,No,Si,Si,Si,Si,Si,Si,Anual,38038,0,0,323232,1929122,No,
3741,Hombre,80,No,0,0,11,Plan D,13956.8,No,Si,22.5,No,No,No,No,No,Si,Si,No,Mensual,41158,0,72800,153524.8,656728.8,No,
3742,Hombre,48,Si,0,1,68,Plan A,12308.4,Si,Si,33,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,58838,0,0,836971.2,4922091.2,Si,Por Precio
3743,Mujer,19,Si,2,10,41,Plan B,832,Si,Si,88.5,Si,Si,No,No,Si,No,No,Si,Mensual,49036,0,0,34112,2058784,No,
3744,Hombre,52,Si,0,9,72,Ninguno,,,Si,27,Si,Si,Si,Si,Si,Si,Si,Si,Otro mas largo,33696,0,0,0,2454270,No,
3745,Hombre,64,No,0,0,1,Ninguno,7753.2,No,Si,31.5,No,No,No,No,No,Si,Si,Si,Mensual,42042,0,0,7753.2,49795.2,Si,Mejor la Competencia
3746,Mujer,74,No,0,0,2,Plan E,7966.4,No,Si,31.5,No,No,No,No,No,No,No,Si,Mensual,36192,0,0,15932.8,84390.8,Si,Por Precio
3747,Mujer,78,No,0,0,2,Plan E,2854.8,Si,Si,37.5,No,No,No,No,Si,No,No,Si,Mensual,44486,0,0,5709.6,103183.6,Si,Disconforme
3748,Mujer,49,No,0,0,49,Ninguno,5777.2,No,Si,40.5,No,No,Si,Si,Si,Si,Si,Si,Otro mas largo,52338,0,0,283082.8,2840312.8,No,
3749,Hombre,69,No,0,0,36,Plan C,12131.6,Si,Si,34.5,Si,No,No,No,Si,No,No,Si,Mensual,47242,0,0,436737.6,2093821.6,Si,Mejor la Competencia
3750,Mujer,35,Si,0,1,56,Plan B,17732,No,Si,19.5,Si,Si,Si,No,Si,Si,Si,Si,Anual,54912,0,0,992992,4148690,No,
3751,Hombre,58,Si,0,4,72,Ninguno,21054.8,Si,Si,22.5,No,Si,Si,No,Si,Si,Si,Si,Otro mas largo,54496,0,0,1515945.6,5400397.6,No,
3752,Hombre,79,Si,0,1,71,Ninguno,23223.2,Si,Si,12,Si,Si,No,No,Si,Si,Si,Si,Mensual,54652,0,0,1648847.2,5573859.2,Si,Servicio Cliente
3753,Hombre,71,No,0,0,11,Ninguno,21621.6,No,Si,4.5,No,No,No,No,No,Si,Si,Si,Otro mas largo,40820,0,0,237837.6,692421.6,No,
3754,Mujer,73,Si,0,5,11,Ninguno,8970,Si,Si,40.5,No,No,Si,Si,Si,Si,No,Si,Mensual,54106,0,0,98670,688168,Si,Mejor la Competencia
3755,Hombre,51,Si,0,1,51,Ninguno,,,Si,3,Si,Si,Si,No,Si,Si,Si,Si,Anual,30836,0,0,0,1567618,Si,Otra
3756,Mujer,32,Si,2,1,29,Ninguno,17482.4,No,Si,19.5,No,No,No,No,Si,Si,Si,Si,Mensual,45656,0,0,506989.6,1870299.6,No,
3757,Hombre,44,Si,0,6,53,Ninguno,17128.8,Si,Si,25.5,No,Si,No,Si,No,Si,Si,Si,Anual,50830,0,0,907826.4,3530290.4,No,
3758,Hombre,44,No,2,0,4,Ninguno,5080.4,No,Si,24,Si,No,No,No,No,No,No,No,Mensual,25688,0,5200,20321.6,121409.6,Si,Otra
3759,Hombre,35,Si,2,4,46,Ninguno,7753.2,No,No,,,,,,,,,,Otro mas largo,10452,0,0,356647.2,843809.2,No,
3760,Mujer,41,Si,0,8,72,Ninguno,4669.6,Si,No,,,,,,,,,,Otro mas largo,12766,0,0,336211.2,1246575.2,No,
3761,Mujer,20,Si,0,7,63,Plan B,17945.2,No,Si,69,Si,No,Si,No,No,No,Si,Si,Anual,42198,0,0,1130547.6,3847287.6,No,
3762,Mujer,74,No,0,0,60,Plan B,25438.4,Si,Si,16.5,Si,No,No,No,Si,Si,No,Si,Anual,52728,0,0,1526304,4738136,No,
